,subject,name,uid,description
0,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/LocationTrack,Location track,LocationTrack,Location track number or name as an abbreviation 
1,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/AdditionalDetails,Additional details,AdditionalDetails,E.g. additional information related to installation
2,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/PostHeight,Post height,PostHeight,Height of the post in millimeters if sign has one 
3,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/InstallationDirection,Installation direction,InstallationDirection,Installation direction of the sign
4,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/RouteNumber,Route number,RouteNumber,The route number on which the object is located
5,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/OperatingCentreDistrict,Operating centre district ,OperatingCentreDistrict,The operating centre district on which the object is located
6,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ArticleNumber,ArticleNumber,ArticleNumber,Article number or reference that is be applied to a configured product according to a standard scheme for article number definition as defined by the manufacturer. It is often used as the purchasing number.
7,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/GeographicalLocation,Geographical location,GeographicalLocation,Xyz-coordinates of the object
8,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SignFastener,Sign fastener,SignFastener,Accessories and that are used to fasten the sign 
9,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SignFastening,Sign fastening,SignFastening,The structure or object to which the sign is fastened 
10,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/MaintenanceDistrict,maintenance district,MaintenanceDistrict,The maintenance district on which the object is located
11,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/SignLegend,SignLegend,SignLegend,Text information written on the signal or sign.
12,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SignName,Sign name,SignName,Name of the sign in accordance with the RATO 17
13,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/MaintenanceOversightDistrict,maintenance oversight district,MaintenanceOversightDistrict,The maintenance oversight district on which the object is located
14,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/Name,Name,Name,Additional name
15,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/Foundation,Foundation,Foundation,Type of foundation if sign has one
16,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/InstallationHeight,Installation height,InstallationHeight,Installation height of the sign
17,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/Owner,Owner,Owner,Owner of the object/asset
18,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ProductionYear,ProductionYear,ProductionYear,The year of production of the manufactured item.
19,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/InstallationDate,InstallationDate,InstallationDate,Date on which the element is installed.
20,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/InstallationDistance,Installation distance,InstallationDistance,Installation distance of the sign
21,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/FacingDirection,Facing direction,FacingDirection,Is the sign placed in ascending or descending direction relative to the track kilometers
22,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/AccountingRouteNumber,Accounting route number,AccountingRouteNumber,The Accounting route number on which the obecjt is located 
23,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/WarrantyPeriod,WarrantyPeriod,WarrantyPeriod,The time duration during which a manufacturer or supplier guarantees or warrants the performance of an artefact.
24,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/Side,Side,Side,On which side the sign is installed in relation to track
25,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/NumberOfFasteners,Number of fasteners,NumberOfFasteners,Number of fasteners used to fasten the sign 
26,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/MilageValue,Milage value ,MilageValue,Location on track line in kilometers and meters
27,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/Status,Status,Status,The status currently assigned to the permit.
28,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SignIs1FacedOr2Faced,Sign is 1 faced / 2 faced,SignIs1FacedOr2Faced,One face of sign has text or both faces of the sign has text 
29,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/Plug,Plug,Plug,Information about whether the item contains a plug
30,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/GlobalId,GlobalId,GlobalId,Assignment of a globally unique identifier within the entire software world.
