,Unnamed: 0.1,Unnamed: 0,subject,name,uid,description,description_NER
0,0,0,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/LocationTrack,Location track,LocationTrack,Location track number or name as an abbreviation ,
1,1,1,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/AdditionalDetails,Additional details,AdditionalDetails,E.g. additional information related to installation,"information, installation"
2,2,2,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/PostHeight,Post height,PostHeight,Height of the post in millimeters if sign has one ,"Height, millimeters, sign"
3,3,3,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/InstallationDirection,Installation direction,InstallationDirection,Installation direction of the sign,sign
4,4,4,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/RouteNumber,Route number,RouteNumber,The route number on which the object is located,object
5,5,5,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/OperatingCentreDistrict,Operating centre district ,OperatingCentreDistrict,The operating centre district on which the object is located,object
6,6,6,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ArticleNumber,ArticleNumber,ArticleNumber,Article number or reference that is be applied to a configured product according to a standard scheme for article number definition as defined by the manufacturer. It is often used as the purchasing number.,"reference, manufacturer, used"
7,7,7,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/GeographicalLocation,Geographical location,GeographicalLocation,Xyz-coordinates of the object,object
8,8,8,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SignFastener,Sign fastener,SignFastener,Accessories and that are used to fasten the sign ,sign
9,9,9,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SignFastening,Sign fastening,SignFastening,The structure or object to which the sign is fastened ,"structure, object, sign"
10,10,10,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/MaintenanceDistrict,maintenance district,MaintenanceDistrict,The maintenance district on which the object is located,object
11,11,11,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/SignLegend,SignLegend,SignLegend,Text information written on the signal or sign.,"signal, sign"
12,12,12,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SignName,Sign name,SignName,Name of the sign in accordance with the RATO 17,"Name, sign"
13,13,13,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/MaintenanceOversightDistrict,maintenance oversight district,MaintenanceOversightDistrict,The maintenance oversight district on which the object is located,object
14,14,14,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/Name,Name,Name,Additional name,name
15,15,15,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/Foundation,Foundation,Foundation,Type of foundation if sign has one,"Type, sign"
16,16,16,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/InstallationHeight,Installation height,InstallationHeight,Installation height of the sign,sign
17,17,17,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/Owner,Owner,Owner,Owner of the object/asset,
18,18,18,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ProductionYear,ProductionYear,ProductionYear,The year of production of the manufactured item.,item
19,19,19,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/InstallationDate,InstallationDate,InstallationDate,Date on which the element is installed.,element
20,20,20,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/InstallationDistance,Installation distance,InstallationDistance,Installation distance of the sign,sign
21,21,21,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/FacingDirection,Facing direction,FacingDirection,Is the sign placed in ascending or descending direction relative to the track kilometers,"sign, track"
22,22,22,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/AccountingRouteNumber,Accounting route number,AccountingRouteNumber,The Accounting route number on which the obecjt is located ,
23,23,23,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/WarrantyPeriod,WarrantyPeriod,WarrantyPeriod,The time duration during which a manufacturer or supplier guarantees or warrants the performance of an artefact.,"manufacturer, supplier, performance, artefact"
24,24,24,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/Side,Side,Side,On which side the sign is installed in relation to track,"sign, relation"
